ID,name,city_code,city,zip_code,street,house_NO,latitude,longtitude
,box,592013,Babice,,Babice,547,,
,box,592013,Babice,,Babice,258,,
,box,581330,Benešov,,Benešov,154,,
,box,579050,Bernartice,,Bernartice,62,,
,box,550833,Bílsko,,Bílsko,,,
,box,552062,Bílsko,,Bílsko,12,,
,box,525588,Bludov,,Jiráskova ulice,336,,
,box,592901,Bohdalice,,Bohdalice,45,,
,box,539953,Bohutín,,Bohutín,40,,
,box,525979,Bohutín,,Bohutín,103,,
,box,539970,Borotice,,Borotice,48,,
,box,577839,Borová,,Borová,105,,
,box,582891,Březina,,Březina,24,,
,box,581429,Březina,,Březina,122,,
,box,538744,Březnice,,Březnice,26,,
,box,585131,Březová,,Březová,3,,
,box,506451,Březová,,Lesní Albrechtice,10,,
,box,506451,Březová,,Březová,106,,
,box,599735,Březová-Oleško,,Hlavní,1143,,
,box,593842,Břežany,,Břežany,103,,
,box,598062,Bystřice,,Bystřice,145,,
,box,598062,Bystřice,,Bystřice,392,,
,box,533998,Církvice,,Církvice,6,,
,box,550272,Cvrčovice,,Cvrčovice,74,,
,box,592137,Částkov,,Částkov,75,,
,box,576221,Čestice,,Čestice,128,,
,box,501476,Dlouhá Loucka,,Pionýrská,176,,
,box,577987,Dlouhá Loučka,,Dlouhá Loučka,122,,
,box,595489,Dobrá Voda,,Dobrá Voda,46,,
,box,501646,Dolany,,Dolany,55,,
,box,556106,Dolany,,Dolany,114,,
,box,501646,Dolany,,Pohořany,103,,
,box,501646,Dolany,,Véska,9,,
,box,581551,Drnovice,,Drnovice,371,,
,box,581551,Drnovice,,Drnovice,43,,
,box,593001,Drnovice,,Drnovice,321,,
,box,531154,Drozdov,,Drozdov,16,,
,box,568678,Herálec,,Herálec,144,,
,box,595594,Herálec - Český Herálec,,Český Herálec,114,,
,box,571393,Hlinsko,,Poděbradovo nám.,10,,
,box,581593,Hodonín,,Hodonín,17,,
,box,539228,Holubice,,Holubice,175,,
,box,550825,Holubice,,Holubice,61,,
,box,550825,Holubice,,Holubice,213,,
,box,537161,Hradčany,,Hradčany,74,,
,box,594148,Hrádek,,Hrádek,309,,
,box,512176,Hrádek,,Hrádek,352,,
,box,513750,Hranice,,třída 1. máje,1624,,
,box,513750,Hranice,,Nádražní,1285,,
,box,513750,Hranice,,Zborovská,293,,
,box,513750,Hranice,,Nová,1820,,
,box,513750,Hranice,,Cementářenské Sídliště,1298,,
,box,513750,Hranice,,Jungmanova,1805,,
,box,513750,Hranice,,Dobrovského,,,
,box,513750,Hranice,,Máchova,1281,,
,box,513750,Hranice,,Nádražní,735,,
,box,513750,Hranice,,Uhřinov,,,
,box,531235,Hvozdec,,Hvozdec,61,,
,box,590703,Chlístov,,Chlístov,7,,
,box,503444,Litovel,,Chudobín,31,,
,box,597431,Janov,,Janov,63,,
,box,578134,Janov,,Janov,2,,
,box,578134,Jasenná,,Jasenná,58,,
,box,585301,Jasenná,,Jasenná,159,,
,box,585301,Jasenná,,Jasenná,54,,
,box,536393,Jestřebí,,Jestřebí,,,
,box,594211,Jezeřany - Maršovice,,Jezeřany - Maršovice,136,,
,box,548081,Jiřice,,Jiřice,19,,
,box,529613,Josefův Důl,,Josefův Důl,36,,
,box,560421,Kaceřov,,Kaceřov,49,,
,box,587346,Kamenice,,Řehořov,50,,
,box,583197,Kanice,,Kanice,44,,
,box,566144,Kanice,,Kanice,32,,
,box,542946,Kateřinice,,Kateřinice,4,,
,box,532053,Kladno,,náměstí Jana Masaryka,3113,,
,box,532053,Kladno,,Benešova,3230,,
,box,514047,Klokočí,,Klokočí,40,,
,box,537292,Kněžice,,Kněžice,90,,
,box,581739,Knínice,,Knínice,64,,
,box,514055,Kojetín,,Popůvky,3,,
,box,514055,Kojetín,,Kovalovice,25,,
,box,595888,Kozlov,,Kozlov,51,,
,box,529940,Kozmice,,Kozmice,12,,
,box,569372,Krchleby,,Krchleby,82,,
,box,541966,Krupá,,Krupá,53,,
,box,532533,Ledce,,Ledce,200,,
,box,530051,Lešany,,Břežany,73,,
,box,571695,Leština,,Leština,66,,
,box,598364,Lhotka,,Lhotka,114,,
,box,565121,Liběšice - Zimoř,,Zimoř,24,,
,box,549622,Lípa,,Lípa,53,,
,box,514772,Lipová,,Lipová,89,,
,box,539457,Líšnice,,Líšnice,33,,
,box,554791,Plzeň,,Řepná,20,,
,box,597589,Lomnice,,Lomnice,69,,
,box,597589,Lomnice,,Tylov,164,,
,box,581976,Lomnice,,náměstí Palackého,32,,
,box,570320,Lovčice,,Lovčice,34,,
,box,558028,Lužany,,Lužany,130,,
,box,573167,Markvartice,,Markvartice,76,,
,box,591114,Markvartice,,Markvartice,67,,
,box,588741,Martinice,,Martinice,149,,
,box,552372,Medlov,,Medlov,194,,
,box,592366,Medlovice,,Medlovice,87,,
,box,548367,Mezilesí,,Mezilesí,26,,
,box,540382,Mikulovice,,Široký Brod,119,,
,box,586391,Moravany,,Moravany,73,,
