id,accessPointType,pickupEnabled,lastChange,name,capacityStatus,latitude,longitude
4441737,AlzaBox,False,2025-04-28T21:20:47.25,ABOX HVV Šrámkova (Hruška),Unknown,49.77161,18.455883
4441743,AlzaBox,False,2025-04-28T21:20:47.45,ABOX BRN Dornych (Lidl),Unknown,49.186516,16.621294
4441746,AlzaBox,False,2025-04-28T21:20:47.647,ABOX ZEB Tovární (Coop),Unknown,49.872715,13.894212
4441748,AlzaBox,False,2025-04-28T21:20:47.713,ABOX MTB Lanškrounská (Kubík),Unknown,49.75999,16.6646
4441749,AlzaBox,False,2025-04-28T21:20:47.753,ABOX ABOX CKN Čkyně,Unknown,49.114958611,13.825537805
4441753,AlzaBox,False,2025-04-28T21:20:47.893,ABOX BNA Nábřeží (Pepco),Unknown,50.5537,13.772638
4441755,AlzaBox,False,2025-04-28T21:20:47.987,ABOX PRG Pertoldova,Unknown,50.00024,14.427118
4441756,AlzaBox,False,2025-04-28T21:20:48.027,ABOX PRG Vodičkova (Myšák),Unknown,50.08145,14.423924
4441760,AlzaBox,False,2025-04-28T21:20:48.14,ABOX TMV Tlumačov (ČS PRIM),Unknown,49.261467,17.495476
4441761,AlzaBox,False,2025-04-28T21:20:48.197,ABOX NCE Hlavní (ČS PRIM),Unknown,49.993458,17.812998
4441762,AlzaBox,False,2025-04-28T21:20:48.217,ABOX LNL Jedličkova (ČS PRIM),Unknown,50.199867,14.846348
4441766,AlzaBox,False,2025-04-28T21:20:48.627,ABOX STK Smetanova (Coop),Unknown,49.265877,13.904096
4441767,AlzaBox,False,2025-04-28T21:20:48.63,ABOX JIH Na Dolech (Penny),Unknown,49.409424,15.567814
4441768,AlzaBox,False,2025-04-28T21:20:48.693,ABOX HTO nám. května,Unknown,49.10851,16.057446
4441772,AlzaBox,False,2025-04-28T21:20:48.84,ABOX MEN Měnín (Pekárna),Unknown,49.08069,16.693289
4441775,AlzaBox,False,2025-04-28T21:20:48.957,ABOX BRM Družba (Papírnic),Unknown,49.08447,18.022629
4441778,AlzaBox,False,2025-04-28T21:20:49.057,ABOX BRY Břasy (Coop),Unknown,49.832897,13.585553
4441779,AlzaBox,False,2025-04-28T21:20:49.093,ABOX SPV Dolní,Unknown,49.681877,17.223665
4441780,AlzaBox,False,2025-04-28T21:20:49.103,ABOX BDS Slánská,Unknown,50.189,14.1608
4441787,AlzaBox,False,2025-04-28T21:20:49.323,ABOX PRG Vyšehradská,Unknown,50.068096,14.416715
4441798,AlzaBox,False,2025-04-28T21:20:49.603,ABOX PRG Tomíčkova (T-Mobile),Unknown,50.03887,14.476927
4441801,AlzaBox,False,2025-04-28T21:20:49.697,ABOX PRG V Lipách,Unknown,50.061714,14.641434
4441802,AlzaBox,False,2025-04-28T21:20:49.727,ABOX SEV Nová,Unknown,49.254105,14.718674
4441805,AlzaBox,False,2025-04-28T21:20:49.793,ABOX RDV Na Plácku (Parkoviš),Unknown,48.992275,14.535645
4441809,AlzaBox,False,2025-04-28T21:20:49.903,ABOX UJA Komenského,Unknown,49.881966,15.061164
4441810,AlzaBox,False,2025-04-28T21:20:49.957,ABOX PRG Babákova,Unknown,50.03625,14.48746
4441813,AlzaBox,False,2025-04-28T21:20:50.113,ABOX ODV Dolní náměstí (Eso),Unknown,50.233498,14.410106
4441814,AlzaBox,False,2025-04-28T21:20:50.177,ABOX LGE Markvartovická (Tuty),Unknown,49.891098,18.240164
4441815,AlzaBox,False,2025-04-28T21:20:50.223,ABOX ONV Lhotská (Coop),Unknown,49.00448,17.435612
4441816,AlzaBox,False,2025-04-28T21:20:50.257,ABOX PRG Za Pískovnou,Unknown,50.13967,14.450196
4441818,AlzaBox,False,2025-04-28T21:20:50.387,ABOX PRG U Nákl. nádraží,Unknown,50.084717,14.481601
4441819,AlzaBox,False,2025-04-28T21:20:50.447,ABOX VLY Školní (Coop),Unknown,50.281593,14.23833
4441820,AlzaBox,False,2025-04-28T21:20:50.48,ABOX PRG Zenklova (KB),Unknown,50.103104,14.47412
4441821,AlzaBox,False,2025-04-28T21:20:50.507,ABOX PRG Českobrodská,Unknown,50.08122,14.610599
4441825,AlzaBox,False,2025-04-28T21:20:50.583,ABOX RAS Raškovice (Coop),Unknown,49.61081,18.485043
4441826,AlzaBox,False,2025-04-28T21:20:50.643,ABOX PRG Kazínská,Unknown,50.012028,14.385739
4441832,AlzaBox,False,2025-04-28T21:20:50.863,ABOX POS Teplická (Motorest),Unknown,50.23261,14.387867
4441833,AlzaBox,False,2025-04-28T21:20:50.91,ABOX PRG K Třebonicům (Penziony),Unknown,50.035362,14.305451
4441834,AlzaBox,False,2025-04-28T21:20:50.94,ABOX VAL Za Radnicí (nádraží),Unknown,48.74241,16.75572
4441835,AlzaBox,False,2025-04-28T21:20:50.983,ABOX FDM Ostravská,Unknown,49.6739,18.339825
4441837,AlzaBox,False,2025-04-28T21:20:51.023,ABOX NAV Návsí (Coop),Unknown,49.58664,18.759584
4441841,AlzaBox,False,2025-04-28T21:20:51.183,ABOX ZAH 28. října (Billa),Unknown,49.88053,16.875221
4441842,AlzaBox,False,2025-04-28T21:20:51.22,ABOX BNL Pražská,Unknown,50.178024,14.653498
4441845,AlzaBox,False,2025-04-28T21:20:51.3,ABOX MLK Klášterní (Kaufland),Unknown,50.35839,14.47546
