id,accessPointType,pickupEnabled,lastChange,name,capacityStatus,latitude,longitude
4550387,ParcelShop,True,2025-05-02T17:14:53.797,FIXERS - prodejna a servis elektroniky,Free,50.21025,15.832961388
4552313,ParcelShop,True,2025-05-02T16:14:56.927,Shopaholicmothers new,Free,49.936403611,17.887953305
4552554,ParcelShop,True,2025-05-03T11:54:44.783,Galanterie - Fotografie Flachs,Free,49.991468888,14.656685805
4552555,ParcelShop,True,2025-05-02T10:56:56.583,MD Újezd,Free,50.010899194,14.547067194
4552559,ParcelShop,True,2025-05-04T16:34:48.353,Úschovna zavazadel Praha Florenc NEW,Free,50.089460805,14.439714388
4552859,ParcelShop,True,2025-05-03T14:34:53.767,Jaroslav Fikar - M Centrum,Free,49.779194444,13.783694444
4552861,ParcelShop,True,2025-05-03T10:34:52.973,Miroslav Černý,Free,49.898022194,12.733411888
4552863,ParcelShop,True,2025-05-02T10:56:56.803,KP Včelařské potřeby - Petr Kopecký,Free,50.129397805,16.174416694
4552865,ParcelShop,True,2025-05-02T16:54:58.467,AUTOSPORT Kraupner - výroba Klíčů,Free,50.527038611,14.137655805
4553213,ParcelShop,True,2025-05-02T17:34:53.443,Potraviny Rosice,Free,50.04349,15.737636388
4553551,ParcelShop,True,2025-05-02T16:35:04.45,Matrace Trnka,Free,49.727215611,13.369015
4553553,ParcelShop,True,2025-05-02T09:56:10.47,Hydraulika Děčín,Free,50.782039388,14.15781
4553554,ParcelShop,True,2025-05-03T19:54:38.44,Sportovní centrum FIDOR,Free,49.940259388,17.896237805
4553558,ParcelShop,True,2025-05-03T12:14:46.76,Mini Zahradnictví Srubec,Free,48.945346111,14.543204694
4553776,ParcelShop,True,2025-05-04T13:34:37.527,EOS-IT Czech - servis PC techniky,Free,50.133683611,14.139359194
4553777,ParcelShop,True,2025-05-02T16:54:59.863,Domácí potřeby-Nadřez,Free,49.685775611,18.368608888
4553812,ParcelShop,True,2025-05-04T15:14:41.177,Potraviny Benešovská,Free,50.073580611,14.468528888
4553988,ParcelShop,True,2025-05-03T11:54:45.977,"Prima Strava – kavárna, bistro",Free,50.062956388,14.360781388
4553990,ParcelShop,True,2025-05-04T15:14:41.553,Pidi Market U Soba,Free,49.191773888,16.595913888
4554129,ParcelShop,True,2025-05-02T16:14:59.257,Květinářství Pro tebe,Free,49.636553888,18.136828888
4554259,ParcelShop,True,2025-05-03T16:54:42.6,Pošta partner Bystřany,Free,50.625258611,13.860214388
4556197,ParcelShop,True,2025-05-03T07:54:52.927,Prodejna Mlečice (Kiwifood),Free,49.919673888,13.695205611
4556198,ParcelShop,True,2025-05-02T16:14:59.817,Papírnictví Sofie,Free,50.061116694,14.587991694
4556204,ParcelShop,True,2025-05-04T16:54:55.233,Můj obchod - Potraviny na Charbulce,Free,49.185703611,16.6352675
4556342,ParcelShop,True,2025-05-02T15:55:00.117,VALAŠSKÝ CHLEBA BRNO s.r.o.,Free,49.194784694,16.616860805
4556346,ParcelShop,True,2025-05-03T09:54:45.533,NÁŠ nábytek,Free,49.465138888,18.136854388
4556362,ParcelShop,True,2025-05-03T19:34:53.247,Muj obchod Topolna,Free,49.12077,17.541355611
4556363,ParcelShop,True,2025-05-02T16:35:07.72,Zákaznické centrum Samsung new,Free,49.844878611,18.2810525
4556364,ParcelShop,True,2025-05-02T16:55:03.31,Elektro Hať new,Free,49.945498611,18.244277805
4556492,ParcelShop,True,2025-05-03T11:54:48.333,HELKON new,Free,49.776930611,18.444046388
4556504,ParcelShop,True,2025-05-03T10:34:56.29,Slezská káva a čaj,Free,49.635473111,18.71929
4556511,ParcelShop,True,2025-05-04T11:14:48.293,Petrol Pack,Free,50.784151388,14.217108111
4556514,ParcelShop,True,2025-05-02T16:55:03.47,Pneuservis Obrnice,Free,50.507378888,13.6942475
4557167,ParcelShop,True,2025-05-02T13:55:18.393,Česká reklamka - Olomouc,Free,49.599845,17.254525
4557173,ParcelShop,True,2025-05-04T16:34:52.24,Minimarket Korunní 95,Free,50.075524388,14.453464694000001
4558652,ParcelShop,True,2025-05-03T11:14:35.153,Květiny Peťule,Free,50.1399975,14.080104194
4558654,ParcelShop,True,2025-05-02T14:15:14.113,V-Construct s.r.o.,Free,49.249278305,13.917738888
4558663,ParcelShop,True,2025-05-02T15:15:10.67,Dobrůtky u Elenky,Free,49.676875305,18.365328305
4559792,ParcelShop,True,2025-05-04T15:54:50.41,Potraviny Okružní,Free,50.215958888,12.193724194
4559793,ParcelShop,True,2025-05-02T16:55:04.71,NOVY,Free,50.018833305,15.701778888
