id2,id,accessPointType,pickupEnabled,lastChange,name,capacityStatus,latitude,longitude,box_type,city_abbr,street,note,slouceny,address,latlong
1458,4561221,ParcelBox,True,"2025-05-03T09:54:52,960",PBOX ACE Míru (U CBA),Free,50.162558888,17.573313305,PBOX,ACE,Míru,U CBA,"""50.162558888,17.573313305"",","Míru 12/3, 793 95 Město Albrechtice, Czechia","50.162558888,17.573313305"
349,4540715,ParcelBox,True,"2025-05-04T16:14:36,117",PBOX ACE Středová (ADRIATOM),Free,49.78343,18.52277,PBOX,ACE,Středová,ADRIATOM,"""49.78343,18.52277"",","Středová 408, 735 43 Albrechtice-Albrechtice u Českého Těšína, Czechia","49.78343,18.52277"
1453,4561215,ParcelBox,True,"2025-05-04T10:14:51,537",PBOX ADV Nádražní (Albert),Free,49.300471388,16.651568111,PBOX,ADV,Nádražní,Albert,"""49.300471388,16.651568111"",","Albert, Nádražní 42, 679 04 Adamov-Adamov 1, Czechia","49.300471388,16.651568111"
1768,4573395,ParcelBox,True,"2025-04-30T19:35:25,280",PBOX ANV Albrechtice n.V (Vachta),Free,49.256398611,14.307878111,PBOX,ANV,Albrechtice n.V,Vachta,"""49.256398611,14.307878111"",","Albrechtice nad Vltavou 16, 398 16 Albrechtice nad Vltavou, Czechia","49.256398611,14.307878111"
965,4328610,ParcelBox,True,"2025-05-03T17:12:51,560",PBOX ASH Chebská (IQ Wash),Free,50.213569194,12.199983111,PBOX,ASH,Chebská,IQ Wash,"""50.213569194,12.199983111"",","Chebská 2934, 352 01 Aš-Aš 1, Czechia","50.213569194,12.199983111"
3571,4627525,ParcelBox,True,"2025-05-02T13:35:53,253",PBOX ASH Chebská (U komína),Free,50.209681388,12.204306888,PBOX,ASH,Chebská,U komína,"""50.209681388,12.204306888"",","Chebská 140, 352 01 Aš-Aš 1, Czechia","50.209681388,12.204306888"
3685,4688366,ParcelBox,True,"2025-05-04T13:55:33,853",PBOX BAM Blat.p.Sv.Ant. (FASToil),Free,48.941392805,17.480696888,PBOX,BAM,Blat.p.Sv.Ant.,FASToil,"""48.941392805,17.480696888"",","Blatnice pod Svatým Antonínkem 857, 696 71 Blatnice pod Svatým Antonínkem, Czechia","48.941392805,17.480696888"
3557,4590739,ParcelBox,True,"2025-05-04T04:15:16,927",PBOX BAY Stupno (nádraží),Free,49.82541,13.577352194,PBOX,BAY,Stupno,nádraží,"""49.82541,13.577352194"",","Stupno 181, 338 24 Břasy-Břasy 1, Czechia","49.82541,13.577352194"
559,4556324,ParcelBox,True,"2025-05-03T18:54:41,857",PBOX BBE Babice (Fotbal),Free,49.119609694,17.478444694,PBOX,BBE,Babice,Fotbal,"""49.119609694,17.478444694"",","Babice 87, 687 03 Babice, Czechia","49.119609694,17.478444694"
204,4498906,ParcelBox,True,"2025-05-02T17:14:31,830",PBOX BBY Široká (Hruška),Free,49.078604694,18.017734694,PBOX,BBY,Široká,Hruška,"""49.078604694,18.017734694"",","Široká 147, Bylnice, 763 31 Brumov-Bylnice-Brumov-Bylnice 1, Czechia","49.078604694,18.017734694"
325,4539189,ParcelBox,True,"2025-05-04T16:54:39,410",PBOX BCE nám. Svobody (COOP),Free,49.086585,17.338551388,PBOX,BCE,nám. Svobody,COOP,"""49.086585,17.338551388"",","nám. Svobody 239, 687 08 Buchlovice, Czechia","49.086585,17.338551388"
1636,4568244,ParcelBox,True,"2025-05-04T16:55:12,143",PBOX BCS Babice nad Svi. (Obec),Free,49.283521388,16.6993125,PBOX,BCS,Babice nad Svi.,Obec,"""49.283521388,16.6993125"",","Babice nad Svitavou 345, 664 01 Babice nad Svitavou, Czechia","49.283521388,16.6993125"
1533,4566973,ParcelBox,True,"2025-05-03T10:15:03,970",PBOX BDA Osvobození (Hruška),Free,49.914149194,17.377711888,PBOX,BDA,Osvobození,Hruška,"""49.914149194,17.377711888"",","Osvobození 357, 793 51 Břidličná, Czechia","49.914149194,17.377711888"
747,4275765,ParcelBox,True,"2025-05-04T17:12:31,200",PBOX BDC U Borku (Kristek),Free,50.442845805,14.899606694,PBOX,BDC,U Borku,Kristek,"""50.442845805,14.899606694"",","Sportovní 0, 293 06 Bradlec-Kosmonosy, Czechia","50.442845805,14.899606694"
1450,4561212,ParcelBox,True,"2025-05-03T06:15:00,830",PBOX BDK Brandýsek (Petrol),Free,50.182787805,14.173037194,PBOX,BDK,Brandýsek,Petrol,"""50.182787805,14.173037194"",","Brandýsek 433, 273 41 Brandýsek, Czechia","50.182787805,14.173037194"
1752,4572669,ParcelBox,True,"2025-05-04T10:35:11,933",PBOX BDV Budišov (ČS),Free,49.2750325,16.013890305,PBOX,BDV,Budišov,ČS,"""49.2750325,16.013890305"",","Budišov 344, 675 03 Budišov, Czechia","49.2750325,16.013890305"
1840,4579744,ParcelBox,True,"2025-05-04T13:55:08,323",PBOX BEN Bezručova (COOP),Free,49.781897194,14.693288111,PBOX,BEN,Bezručova,COOP,"""49.781897194,14.693288111"",","Bezručova 1064, 256 01 Benešov-Benešov u Prahy, Czechia","49.781897194,14.693288111"
1143,4391165,ParcelBox,True,"2025-05-04T13:13:09,320",PBOX BEN Čechova (Kočárky),Free,49.786244694,14.692733888,PBOX,BEN,Čechova,Kočárky,"""49.786244694,14.692733888"",","Čechova 1433, 256 01 Benešov-Benešov u Prahy, Czechia","49.786244694,14.692733888"
849,4301990,ParcelBox,True,"2025-05-04T10:52:45,453",PBOX BEN Křižíkova (Benea),Free,49.772174194,14.679438888,PBOX,BEN,Křižíkova,Benea,"""49.772174194,14.679438888"",","Křižíkova 1529, 256 01 Benešov-Benešov u Prahy, Czechia","49.772174194,14.679438888"
1449,4561211,ParcelBox,True,"2025-05-02T18:55:22,583",PBOX BEN Nádražní (414),Free,49.780939194,14.682938305,PBOX,BEN,Nádražní,414,"""49.780939194,14.682938305"",","Nádražní 414, 256 01 Benešov-Benešov u Prahy, Czechia","49.780939194,14.682938305"
3626,4722088,ParcelBox,True,"2025-05-04T09:55:42,897",PBOX BEN Pražs.povstání (Potravin),Free,49.790013611,14.698111111,PBOX,BEN,Pražs.povstání,Potravin,"""49.790013611,14.698111111"",","Pražského povstání 1908, 256 01 Benešov-Benešov u Prahy, Czechia","49.790013611,14.698111111"
301,4536725,ParcelBox,True,"2025-05-03T19:54:24,340",PBOX BHD Lidická (Guman),Free,50.154240305,14.195913305,PBOX,BHD,Lidická,Guman,"""50.154240305,14.195913305"",","Lidická 653/18, 273 43 Buštěhrad, Czechia","50.154240305,14.195913305"
917,4309735,ParcelBox,True,"2025-05-04T14:52:45,573",PBOX BHD Tyršova (Potravin),Free,50.157612805,14.185896111,PBOX,BHD,Tyršova,Potravin,"""50.157612805,14.185896111"",","Tyršova 647/32, 273 43 Buštěhrad, Czechia","50.157612805,14.185896111"
1105,4364193,ParcelBox,True,"2025-05-03T16:53:02,937",PBOX BHM 1. máje (LED21),Free,49.903358305,18.379743111,PBOX,BHM,1. máje,LED21,"""49.903358305,18.379743111"",","1. máje 163, Skřečoň, 735 31 Bohumín-Bohumín 3, Czechia","49.903358305,18.379743111"
1013,4334731,ParcelBox,True,"2025-05-04T15:52:57,130",PBOX BHM Bezručova (Barvy),Free,49.892834194,18.361458888,PBOX,BHM,Bezručova,Barvy,"""49.892834194,18.361458888"",","Bezručova 1084, 735 81 Bohumín-Nový Bohumín, Czechia","49.892834194,18.361458888"
880,4304402,ParcelBox,True,"2025-05-04T15:52:48,127",PBOX BHM Čáslavská (Apollo),Free,49.9039725,18.353351388,PBOX,BHM,Čáslavská,Apollo,"""49.9039725,18.353351388"",","Čáslavská 243, 735 81 Bohumín-Bohumín 1, Czechia","49.9039725,18.353351388"
193,4496077,ParcelBox,True,"2025-05-04T16:34:25,040",PBOX BHM Okružní (HRUŠKA),Free,49.9020775,18.350886111,PBOX,BHM,Okružní,HRUŠKA,"""49.9020775,18.350886111"",","Okružní 1164, 735 81 Bohumín 1, Czechia","49.9020775,18.350886111"
1487,4563857,ParcelBox,True,"2025-05-03T16:54:52,557",PBOX BHT Prostějovská (Obec),Free,49.448438305,17.166100611,PBOX,BHT,Prostějovská,Obec,"""49.448438305,17.166100611"",","Bedihošť, 798 21 Bedihošť, Czechia","49.448438305,17.166100611"
3622,4719863,ParcelBox,True,"2025-05-03T11:35:49,723",PBOX BHV náměstí Míru (Coop),Free,50.150875805,13.044766111,PBOX,BHV,náměstí Míru,Coop,"""50.150875805,13.044766111"",","nám. Míru 337, 364 71 Bochov, Czechia","50.150875805,13.044766111"
191,4495764,ParcelBox,True,"2025-05-02T09:35:32,070",PBOX BIA 5.května (Automyčk),Free,50.544986111,13.769185305,PBOX,BIA,5.května,Automyčk,"""50.544986111,13.769185305"",","5. května 346, 418 01 Bílina-Bílina 1, Czechia","50.544986111,13.769185305"
322,4539182,ParcelBox,True,"2025-05-04T12:14:28,863",PBOX BIA Aléská (Autodíly),Free,50.5420025,13.776649388,PBOX,BIA,Aléská,Autodíly,"""50.5420025,13.776649388"",","Aléská 269, Pražské Předměstí, 418 01 Bílina-Bílina 1, Czechia","50.5420025,13.776649388"
1490,4563868,ParcelBox,True,"2025-05-02T15:15:19,423",PBOX BIV Trávníky (ZEPO),Free,49.418719194,16.5863925,PBOX,BIV,Trávníky,ZEPO,"""49.418719194,16.5863925"",","Trávníky 136, 679 21 Bořitov-Černá Hora, Czechia","49.418719194,16.5863925"
74,4474587,ParcelBox,True,"2025-05-04T09:53:59,767",PBOX BJE Mánesova (OD TIS),Free,49.03706,17.810296888,PBOX,BJE,Mánesova,OD TIS,"""49.03706,17.810296888"",","Mánesova 954, 687 71 Bojkovice, Czechia","49.03706,17.810296888"
1062,4352590,ParcelBox,True,"2025-05-03T19:52:56,003",PBOX BJZ B. Němcové (Truckcen),Free,50.282789194,14.8227975,PBOX,BJZ,B. Němcové,Truckcen,"""50.282789194,14.8227975"",","B. Němcové 656, 294 71 Benátky nad Jizerou-Benátky nad Jizerou II, Czechia","50.282789194,14.8227975"
356,4540742,ParcelBox,True,"2025-05-04T15:54:34,047",PBOX BKY Bukovany (Joil ČS),Free,49.824175,14.627895611,PBOX,BKY,Bukovany,Joil ČS,"""49.824175,14.627895611"",","Bukovany 183, 257 41 Bukovany, Czechia","49.824175,14.627895611"
1869,4583245,ParcelBox,True,"2025-05-04T17:35:10,940",PBOX BLA L. Janáčka (HRUŠKA),Free,49.35938,16.654608111,PBOX,BLA,L. Janáčka,HRUŠKA,"""49.35938,16.654608111"",","Leoše Janáčka 7a, 678 01 Blansko 1, Czechia","49.35938,16.654608111"
932,4311513,ParcelBox,True,"2025-05-03T18:32:46,690",PBOX BLA Nádražní (ČAD),Free,49.353234694,16.649281388,PBOX,BLA,Nádražní,ČAD,"""49.353234694,16.649281388"",","Nádražní 2320/10, 678 01 Blansko-Blansko 1, Czechia","49.353234694,16.649281388"
729,4273401,ParcelBox,True,"2025-05-03T16:52:28,510",PBOX BLA Náměstí Míru (COOP),Free,49.359026694,16.649576888,PBOX,BLA,Náměstí Míru,COOP,"""49.359026694,16.649576888"",","nám. Míru 1481/1, 678 01 Blansko-Blansko 1, Czechia","49.359026694,16.649576888"
720,4271653,ParcelBox,True,"2025-05-04T10:32:34,840",PBOX BLA Rožmitálova (Nolatino),Free,49.361514388,16.642705805,PBOX,BLA,Rožmitálova,Nolatino,"""49.361514388,16.642705805"",","Rožmitálova 1813/7, 678 01 Blansko-Blansko 1, Czechia","49.361514388,16.642705805"
55,4456959,ParcelBox,True,"2025-05-04T16:14:07,307",PBOX BLE Sokolovská (Trafika),Free,49.952852805,18.0792175,PBOX,BLE,Sokolovská,Trafika,"""49.952852805,18.0792175"",","Sokolovská 1027/1a, 747 23 Bolatice, Czechia","49.952852805,18.0792175"
1625,4568219,ParcelBox,True,"2025-05-03T15:35:09,833",PBOX BLO Bílovice (COOP),Free,49.099746694,17.5482025,PBOX,BLO,Bílovice,COOP,"""49.099746694,17.5482025"",","Bílovice 400, 687 12 Bílovice, Czechia","49.099746694,17.5482025"
1565,4567328,ParcelBox,True,"2025-05-04T10:54:58,433",PBOX BMV tř. Masarykova (Myčka),Free,50.589519388,16.326641888,PBOX,BMV,tř. Masarykova,Myčka,"""50.589519388,16.326641888"",","tř. Masarykova 235, 550 01 Broumov-Broumov 1, Czechia","50.589519388,16.326641888"
3458,4580102,ParcelBox,True,"2025-05-03T08:55:12,433",PBOX BNB nám.Republiky (OD TEMPO),Free,49.795493611,17.63013,PBOX,BNB,nám.Republiky,OD TEMPO,"""49.795493611,17.63013"",","Na Sídlišti 697, 747 87 Budišov nad Budišovkou, Czechia","49.795493611,17.63013"
271,4532056,ParcelBox,True,"2025-05-02T16:14:41,023",PBOX BNC Pod Stadionem (uhlí),Free,49.367119694,14.391081111,PBOX,BNC,Pod Stadionem,uhlí,"""49.367119694,14.391081111"",","Pod stadionem 351, 398 43 Bernartice-Bernartice u Milevska, Czechia","49.367119694,14.391081111"
1561,4567323,ParcelBox,True,"2025-05-03T16:15:03,927",PBOX BNE Bravantice (Kamestav),Free,49.755353611,18.084661111,PBOX,BNE,Bravantice,Kamestav,"""49.755353611,18.084661111"",","Bravantice 78, 742 81 Bravantice, Czechia","49.755353611,18.084661111"
796,4298331,ParcelBox,True,"2025-05-04T16:32:45,063",PBOX BNJ Na Výsluní (COOP),Free,50.475292194,14.940802194,PBOX,BNJ,Na Výsluní,COOP,"""50.475292194,14.940802194"",","Na Výsluní 980, 294 01 Bakov nad Jizerou, Czechia","50.475292194,14.940802194"
1130,4388695,ParcelBox,True,"2025-05-04T08:33:09,300",PBOX BNL KOSTELECKÁ (BENTO),Free,50.189770305,14.649561388,PBOX,BNL,KOSTELECKÁ,BENTO,"""50.189770305,14.649561388"",","Kostelecká 1529, 250 01 Brandýs nad Labem-Stará Boleslav-Brandýs nad Labem-Stará Boleslav 1, Czechia","50.189770305,14.649561388"
