ulice,cislo,psc,mesto
Míru,12/3,79395,Město Albrechtice
Středová,408,73543,Albrechtice-Albrechtice u Českého Těšína
Nádražní,42,67904,Adamov-Adamov 1
Albrechtice nad Vltavou,16,39816,Albrechtice nad Vltavou
Chebská,2934,35201,Aš-Aš 1
Chebská,140,35201,Aš-Aš 1
Blatnice pod Svatým Antonínkem,857,69671,Blatnice pod Svatým Antonínkem
Stupno,181,33824,Břasy-Břasy 1
Babice,87,68703,Babice
Široká,147,76331,Brumov-Bylnice-Brumov-Bylnice 1
nám. Svobody,239,68708,Buchlovice
Babice nad Svitavou,345,66401,Babice nad Svitavou
Osvobození,357,79351,Břidličná
Sportovní,0,29306,Bradlec-Kosmonosy
Brandýsek,433,27341,Brandýsek
Budišov,344,67503,Budišov
Bezručova,1064,25601,Benešov-Benešov u Prahy
Čechova,1433,25601,Benešov-Benešov u Prahy
Křižíkova,1529,25601,Benešov-Benešov u Prahy
Nádražní,414,25601,Benešov-Benešov u Prahy
Pražského povstání,1908,25601,Benešov-Benešov u Prahy
Lidická,653/18,27343,Buštěhrad
Tyršova,647/32,27343,Buštěhrad
1. máje,163,73531,Bohumín-Bohumín 3
Bezručova,1084,73581,Bohumín-Nový Bohumín
Čáslavská,243,73581,Bohumín-Bohumín 1
Okružní,1164,73581,Bohumín 1
Bedihošť,,79821,Bedihošť
nám. Míru,337,36471,Bochov
5. května,346,41801,Bílina-Bílina 1
Aléská,269,41801,Bílina-Bílina 1
Trávníky,136,67921,Bořitov-Černá Hora
Mánesova,954,68771,Bojkovice
B. Němcové,656,29471,Benátky nad Jizerou-Benátky nad Jizerou II
Bukovany,183,25741,Bukovany
Leoše Janáčka,7a,67801,Blansko 1
Nádražní,2320/10,67801,Blansko-Blansko 1
nám. Míru,1481/1,67801,Blansko-Blansko 1
Rožmitálova,1813/7,67801,Blansko-Blansko 1
Sokolovská,1027/1a,74723,Bolatice
Bílovice,400,68712,Bílovice
tř. Masarykova,235,55001,Broumov-Broumov 1
