id2,id,accessPointType,name,latitude,longitude,box_type,city_abbr,street,note,slouceny,address,ID,ulice,cislo,psc,mesto
1458,4561221,ParcelBox,PBOX ACE Míru (U CBA),50.162558888,17.573313305,PBOX,ACE,Míru,U CBA,"""50.162558888,17.573313305"",","Míru 12/3, 793 95 Město Albrechtice, Czechia",1,Míru,12/3,79395,Město Albrechtice
349,4540715,ParcelBox,PBOX ACE Středová (ADRIATOM),49.78343,18.52277,PBOX,ACE,Středová,ADRIATOM,"""49.78343,18.52277"",","Středová 408, 735 43 Albrechtice-Albrechtice u Českého Těšína, Czechia",2,Středová,408,73543,Albrechtice-Albrechtice u Českého Těšína
1453,4561215,ParcelBox,PBOX ADV Nádražní (Albert),49.300471388,16.651568111,PBOX,ADV,Nádražní,Albert,"""49.300471388,16.651568111"",","Albert, Nádražní 42, 679 04 Adamov-Adamov 1, Czechia",3,Nádražní,42,67904,Adamov-Adamov 1
1768,4573395,ParcelBox,PBOX ANV Albrechtice n.V (Vachta),49.256398611,14.307878111,PBOX,ANV,Albrechtice n.V,Vachta,"""49.256398611,14.307878111"",","Albrechtice nad Vltavou 16, 398 16 Albrechtice nad Vltavou, Czechia",4,Albrechtice nad Vltavou,16,39816,Albrechtice nad Vltavou
965,4328610,ParcelBox,PBOX ASH Chebská (IQ Wash),50.213569194,12.199983111,PBOX,ASH,Chebská,IQ Wash,"""50.213569194,12.199983111"",","Chebská 2934, 352 01 Aš-Aš 1, Czechia",5,Chebská,2934,35201,Aš-Aš 1
3571,4627525,ParcelBox,PBOX ASH Chebská (U komína),50.209681388,12.204306888,PBOX,ASH,Chebská,U komína,"""50.209681388,12.204306888"",","Chebská 140, 352 01 Aš-Aš 1, Czechia",6,Chebská,140,35201,Aš-Aš 1
3685,4688366,ParcelBox,PBOX BAM Blat.p.Sv.Ant. (FASToil),48.941392805,17.480696888,PBOX,BAM,Blat.p.Sv.Ant.,FASToil,"""48.941392805,17.480696888"",","Blatnice pod Svatým Antonínkem 857, 696 71 Blatnice pod Svatým Antonínkem, Czechia",7,Blatnice pod Svatým Antonínkem,857,69671,Blatnice pod Svatým Antonínkem
3557,4590739,ParcelBox,PBOX BAY Stupno (nádraží),49.82541,13.577352194,PBOX,BAY,Stupno,nádraží,"""49.82541,13.577352194"",","Stupno 181, 338 24 Břasy-Břasy 1, Czechia",8,Stupno,181,33824,Břasy-Břasy 1
559,4556324,ParcelBox,PBOX BBE Babice (Fotbal),49.119609694,17.478444694,PBOX,BBE,Babice,Fotbal,"""49.119609694,17.478444694"",","Babice 87, 687 03 Babice, Czechia",9,Babice,87,68703,Babice
204,4498906,ParcelBox,PBOX BBY Široká (Hruška),49.078604694,18.017734694,PBOX,BBY,Široká,Hruška,"""49.078604694,18.017734694"",","Široká 147, Bylnice, 763 31 Brumov-Bylnice-Brumov-Bylnice 1, Czechia",10,Široká,147,76331,Brumov-Bylnice-Brumov-Bylnice 1
