ID ,name,city_code,city,zip_code,street,house_NO,latitude ,longtitude
4561221,PPL ParcelBox,597635,Město Albrechtice,79395,Míru,,50.16255889,17.573313305
4540715,PPL ParcelBox,598925,Albrechtice,73543,Středová,408,49.78343,18.52277
4561215,PPL ParcelBox,581291,Adamov,67904,Nádražní,42,49.30047139,16.651568111
4573395,PPL ParcelBox,549258,Albrechtice nad Vltavou,39816,Albrechtice nad Vltavou,16,49.25639861,14.307878111
4328610,PPL ParcelBox,554499,Aš,35201,Chebská,2934,50.21356919,12.199983111
4627525,PPL ParcelBox,554499,Aš,35201,Chebská,140,50.20968139,12.204306888
4688366,PPL ParcelBox,586048,Blatnice pod Svatým Antonínkem,69671,Blatnice pod Svatým Antonínkem,857,48.94139281,17.480696888
4590739,PPL ParcelBox,559725,Břasy,33824,Stupno,181,49.82541,13.577352194
4556324,PPL ParcelBox,592013,Babice,68703,Babice,87,49.11960969,17.478444694
4498906,PPL ParcelBox,585114,Brumov-Bylnice,76331,Široká,147,49.07860469,18.017734694
4539189,PPL ParcelBox,592102,Buchlovice,68708,nám. Svobody,239,49.086585,17.338551388
4568244,PPL ParcelBox,582794,Babice nad Svitavou,66401,Babice nad Svitavou,345,49.28352139,16.6993125
4566973,PPL ParcelBox,597228,Břidličná,79351,Osvobození,357,49.91414919,17.377711888
4275765,PPL ParcelBox,570788,Bradlec,29306,U Borku,520,50.44284581,14.899606694
4561212,PPL ParcelBox,532118,Brandýsek,27341,Brandýsek,433,50.18278781,14.173037194
4572669,PPL ParcelBox,590401,Budišov,67503,Budišov,344,49.2750325,16.013890305
4579744,PPL ParcelBox,529303,Benešov,25601,Bezručova,1064,49.78189719,14.693288111
4391165,PPL ParcelBox,529303,Benešov,25601,Čechova,1433,49.78624469,14.692733888
4301990,PPL ParcelBox,529303,Benešov,25601,Křižíkova,1529,49.77217419,14.679438888
4561211,PPL ParcelBox,529303,Benešov,25601,Nádražní,414,49.78093919,14.682938305
4722088,PPL ParcelBox,529303,Benešov,25601,Pražského povstání,1908,49.79001361,14.698111111
4536725,PPL ParcelBox,532169,Buštěhrad,27343,Lidická,653/18,50.15424031,14.195913305
4309735,PPL ParcelBox,532169,Buštěhrad,27343,Tyršova,647/32,50.15761281,14.185896111
4364193,PPL ParcelBox,599051,Bohumín,73531,1. máje,163,49.90335831,18.379743111
4334731,PPL ParcelBox,599051,Bohumín,73581,Bezručova,1084,49.89283419,18.361458888
4304402,PPL ParcelBox,599051,Bohumín,73581,Čáslavská,243,49.9039725,18.353351388
4496077,PPL ParcelBox,599051,Bohumín,73581,Okružní,1164,49.9020775,18.350886111
4563857,PPL ParcelBox,589268,Bedihošť,79821,Prostějovská,,49.44843831,17.166100611
4719863,PPL ParcelBox,555029,Bochov,36471,nám. Míru,337,50.15087581,13.044766111
4495764,PPL ParcelBox,567451,Bílina,41801,5.května,346,50.54498611,13.769185305
4539182,PPL ParcelBox,567451,Bílina,41801,Aléská,269,50.5420025,13.776649388
4563868,PPL ParcelBox,581364,Bořitov,67921,Trávníky,136,49.41871919,16.5863925
4474587,PPL ParcelBox,592048,Bojkovice,68771,Mánesova,954,49.03706,17.810296888
4352590,PPL ParcelBox,535451,Benátky nad Jizerou,29471,B. Němcové,656,50.28278919,14.8227975
4540742,PPL ParcelBox,532924,Bukovany,25741,Bukovany,183,49.824175,14.627895611
4583245,PPL ParcelBox,581283,Blansko,67801,Leoše Janáčka,7a,49.35938,16.654608111
4311513,PPL ParcelBox,581283,Blansko,67801,Nádražní,2320-10-01 00:00:00,49.35323469,16.649281388
4273401,PPL ParcelBox,581283,Blansko,67801,nám. Míru,1481/1,49.35902669,16.649576888
4271653,PPL ParcelBox,581283,Blansko,67801,Rožmitálova,1813/7,49.36151439,16.642705805
4456959,PPL ParcelBox,506214,Bolatice,74723,Sokolovská,1027/1a,49.95285281,18.0792175
4568219,PPL ParcelBox,592030,Bílovice,68712,Bílovice,400,49.09974669,17.5482025
4567328,PPL ParcelBox,573922,Broumov,55001,tř. Masarykova,235,50.58951939,16.326641888
4580102,PPL ParcelBox,506460,Budišov nad Budišovkou,74787,náměstí Republiky,37,49.79549361,17.63013
4532056,PPL ParcelBox,549266,Bernartice,39843,Pod stadionem,351,49.36711969,14.391081111
4567323,PPL ParcelBox,556858,Bravantice,74281,Bravantice,78,49.75535361,18.084661111
4298331,PPL ParcelBox,535427,Bakov nad Jizerou,29401,Na Výsluní,980,50.47529219,14.940802194
4388695,PPL ParcelBox,538094,Brandýs nad Labem-Stará Boleslav,25001,Kostelecká,1529,50.18977031,14.649561388
4298816,PPL ParcelBox,538094,Brandýs nad Labem-Stará Boleslav,25001,Krajířské nám.,1762,50.18700581,14.660244194
4543973,PPL ParcelBox,538094,Brandýs nad Labem-Stará Boleslav,25001,Zápská,1543/28,50.18050439,14.667393888
4561011,PPL ParcelBox,538094,Brandýs nad Labem-Stará Boleslav,25001,Zápy,275,50.17622719,14.671018305
4493834,PPL ParcelBox,595411,Bystřice nad Pernštejnem,59301,Masarykovo nám.,58,49.52351811,16.259696111
4270897,PPL ParcelBox,582824,Bílovice nad Svitavou,66401,Obřanská,489,49.24348311,16.661741888
4567991,PPL ParcelBox,592021,Bánov,68754,Bánov,507,48.99051719,17.718786111
4496220,PPL ParcelBox,599247,Bílovec,74301,17.listopadu,146/27,49.76018281,18.017383888
4504861,PPL ParcelBox,599247,Bílovec,74301,Dukelská,232/3,49.75451639,18.012150805
4540500,PPL ParcelBox,599247,Bílovec,74301,Opavská,1159/57,49.75797861,18.000223888
4303702,PPL ParcelBox,592943,Bučovice,68501,Nádražní,441,49.14792889,17.002361388
4504635,PPL ParcelBox,564656,Budyně nad Ohří,41118,Okružní,366,50.40487939,14.129053611
4719319,PPL ParcelBox,531057,Beroun,26601,Na Máchovně,1610,49.95670439,14.041250805
4573409,PPL ParcelBox,531057,Beroun,26601,Okružní,1481,49.96453331,14.064238111
4328858,PPL ParcelBox,531057,Beroun,26601,Škroupova,854,49.96564939,14.083602194
4324575,PPL ParcelBox,531057,Beroun,26601,Švermova,1368/2,49.95805,14.051508111
4558647,PPL ParcelBox,531057,Beroun,26601,Lidická,669/53,49.97408389,14.075450305
4567342,PPL ParcelBox,560758,Bor,34802,Nová Hospoda,32,49.74832669,12.774439388
4445470,PPL ParcelBox,560758,Bor,34802,nám. Republiky,626,49.71254031,12.773684694
4264210,PPL ParcelBox,581372,Boskovice,68001,Hybešova,46/73,49.48734189,16.674269388
4424404,PPL ParcelBox,581372,Boskovice,68001,Chrudichromská,2454-03-01 00:00:00,49.49204811,16.648805805
4542984,PPL ParcelBox,581372,Boskovice,68001,Na Skalce,1820/10,49.48413031,16.676831388
4301177,PPL ParcelBox,581372,Boskovice,68001,nám. Dr. Snětiny,2275-02-01 00:00:00,49.48864361,16.658912805
