ID ,name,city_code,city,zip_code,street,house_NO,latitude ,longtitude
1,Alza Box,535826,Adamov,37371,Dělnická,45,49.000646,14.540222
2,Alza Box,581291,Adamov,67904,Osvobození,440,49.300411,16.656003
3,Alza Box,581291,Adamov,67904,Nádražní,42,49.300484,16.651548
4,Alza Box,554499,Aš,35201,Dobrovského,2591,50.224082,12.198183
5,Alza Box,554499,Aš,35201,Hlavní,1574,50.217371,12.194838
6,Alza Box,554499,Aš,35201,Selbská,2732,50.217709,12.176575
7,Alza Box,554499,Aš,35201,Chebská,2934,50.214179,12.199339
8,Alza Box,554499,Aš,35201,Rybniční,2742,50.220862,12.190835
9,Alza Box,538043,Babice,25101,Ke Hřišti,127,50.011213,14.718402
10,Alza Box,592013,Babice,68703,Babice,129,49.122828,17.475221
11,Alza Box,535427,Bakov nad Jizerou,29401,Na Výsluní,980,50.474932,14.940203
12,Alza Box,535427,Bakov nad Jizerou,29401,Husova,659,50.479109,14.939124
13,Alza Box,538051,Bašť,25085,Hlavní,302,50.204088,14.468536
14,Alza Box,538051,Bašť,25085,Obecní,126,50.204534,14.473789
15,Alza Box,586862,Batelov,58851,Švábovská,572,49.313999,15.393255
16,Alza Box,550809,Bavorov,38773,Náměstí Míru,9,49.121702,14.079513
17,Alza Box,552054,Bechyně,39165,Sídl. Obránců míru,818,49.299086,14.467457
18,Alza Box,552054,Bechyně,39165,U Vodojemu,992,49.302851,14.475823
19,Alza Box,535443,Bělá pod Bezdězem,29421,Máchova,503,50.505987,14.795764
20,Alza Box,535443,Bělá pod Bezdězem,29421,Tyršova,1299,50.509433,14.784858
21,Alza Box,535451,Benátky nad Jizerou,29471,Tovární,111,50.287108,14.827464
22,Alza Box,535451,Benátky nad Jizerou,29471,Pražská,676,50.283903,14.82667
23,Alza Box,535451,Benátky nad Jizerou,29471,5. května,25,50.287065,14.828812
24,Alza Box,529303,Benešov,25601,Křižíkova,1529,49.772295,14.679369
25,Alza Box,529303,Benešov,25601,Červené Vršky,2217,49.793685,14.682444
26,Alza Box,529303,Benešov,25601,Čechova,2126,49.787045,14.694953
27,Alza Box,529303,Benešov,25601,Červené Vršky,1002,49.793013,14.679947
28,Alza Box,529303,Benešov,25601,Bezručova,1064,49.7818,14.693165
29,Alza Box,529303,Benešov,25601,Nová pražská,1903,49.784161,14.687534
30,Alza Box,529303,Benešov,25601,Nádražní,2105,49.777409,14.684921
31,Alza Box,562351,Benešov nad Ploučnicí,40722,Dvořákova,694,50.740472,14.311056
32,Alza Box,531057,Beroun,26601,Wagnerovo náměstí,970,49.96545,14.071017
33,Alza Box,531057,Beroun,26601,Švermova,1368,49.958095,14.05158
34,Alza Box,531057,Beroun,26601,Škroupova,854,49.965629,14.083627
35,Alza Box,531057,Beroun,26601,Obchodní,250,49.956793,14.060374
36,Alza Box,531057,Beroun,26601,Konečná,689,49.95229,14.044511
37,Alza Box,531057,Beroun,26601,Drašarova,1451,49.96779,14.064747
38,Alza Box,531057,Beroun,26601,,,49.956792,14.062212
39,Alza Box,567451,Bílina,41801,Teplická,832,50.556492,13.777332
40,Alza Box,567451,Bílina,41801,Aléská,269,50.54218,13.776297
41,Alza Box,567451,Bílina,41801,Nábřeží,469,50.5537,13.772638
42,Alza Box,599247,Bílovec,74301,Dukelská,232,49.754306,18.011917
43,Alza Box,582824,Bílovice nad Svitavou,66401,Fügnerovo nábř.,350,49.245997,16.675194
44,Alza Box,582824,Bílovice nad Svitavou,66401,Obřanská,489,49.243478,16.661785
45,Alza Box,581283,Blansko,67801,L. Janáčka,1927,49.359338,16.654417
46,Alza Box,581283,Blansko,67801,Okružní,2211,49.372913,16.650283
47,Alza Box,581283,Blansko,67801,Rožmitálova,1812,49.362032,16.643252
48,Alza Box,581283,Blansko,67801,Fügnerova,2,49.356537,16.645374
49,Alza Box,581283,Blansko,67801,Na Řadech,2347,49.370291,16.642528
50,Alza Box,550850,Blatná,38801,Vorlíčkova,1271,49.421436,13.882973
51,Alza Box,550850,Blatná,38801,B. Němcové,29,49.428577,13.882687
52,Alza Box,557587,Blovice,33601,Tyršova,270,49.579218,13.539138
53,Alza Box,557587,Blovice,33601,Setecká,856,49.584463,13.536277
54,Alza Box,599051,Bohumín,73581,Okružní,1164,49.902173,18.350764
55,Alza Box,599051,Bohumín,73581,9. května,1199,49.8998,18.3542
56,Alza Box,500852,Bohuňovice,78314,Bohuňovice,655,49.667632,17.304571
57,Alza Box,555029,Bochov,36471,náměstí Míru,337,50.150903,13.045004
58,Alza Box,592048,Bojkovice,68771,Mánesova,954,49.037032,17.810348
59,Alza Box,592048,Bojkovice,68771,Palackého,173,49.038378,17.815204
60,Alza Box,506214,Bolatice,74723,Sokolovská,1027,49.952853,18.079055
61,Alza Box,584037,Tvarožná,66405,,,49.184367,16.758946
62,Alza Box,577839,Borová,56982,,,49.746354,16.154598
63,Alza Box,544281,Borovany,37312,Žižkovo náměstí,57,48.901045,14.641446
64,Alza Box,544281,Borovany,37312,Na Výhony,671,48.903792,14.639145
65,Alza Box,544299,Boršov nad Vltavou,37382,Poříčská,282,48.925692,14.445682
66,Alza Box,544299,Boršov nad Vltavou,37382,Obecní,52,48.922385,14.433211
67,Alza Box,538086,Bořanovice,25065,Mělnická,105,50.172754,14.484186
68,Alza Box,581372,Boskovice,68001,Hybešova,46,49.487345,16.674267
69,Alza Box,581372,Boskovice,68001,Chrudichromská,2454,49.492005,16.648566
70,Alza Box,581372,Boskovice,68001,Sokolská,1636,49.491043,16.659602
71,Alza Box,581372,Boskovice,68001,Rovná,2460,49.490923,16.641214
72,Alza Box,570788,Bradlec,29306,,,50.442856,14.899646
73,Alza Box,538094,Brandýs nad Labem-Stará Boleslav,25001,,,50.196479,14.687264
74,Alza Box,538094,Brandýs nad Labem-Stará Boleslav,25001,P. Jilemnického,1868,50.187966,14.656126
75,Alza Box,538094,Brandýs nad Labem-Stará Boleslav,25001,Boleslavská,1901,50.204121,14.688541
76,Alza Box,538094,Brandýs nad Labem-Stará Boleslav,25001,Zápská,2600,50.178734,14.668331
77,Alza Box,538094,Brandýs nad Labem-Stará Boleslav,25001,Kostelecká,1529,50.18977,14.649561
78,Alza Box,538094,Brandýs nad Labem-Stará Boleslav,25001,Masarykovo náměstí,1766,50.186389,14.659722
79,Alza Box,538094,Brandýs nad Labem-Stará Boleslav,25001,Boleslavská,1801,50.201197,14.685265
80,Alza Box,538094,Brandýs nad Labem-Stará Boleslav,25001,Pražská,1006,50.178024,14.653498
81,Alza Box,538094,Brandýs nad Labem-Stará Boleslav,25001,Kralupská,1887,50.183548,14.657392
82,Alza Box,532118,Brandýsek,27341,Slánská,336,50.188998,14.1608
83,Alza Box,532126,Braškov,27351,,,50.101099,14.092274
84,Alza Box,538108,Brázdim,25063,Starý Brázdim,34,50.183803,14.591091
85,Alza Box,582786,Brno,60200,Náměstí Svobody,85,49.19375,16.608444
86,Alza Box,582786,Brno,60200,Ve Vaňkovce,462,49.186876,16.615067
87,Alza Box,582786,Brno,60200,Cejl,42,49.201092,16.625647
88,Alza Box,582786,Brno,60200,Bratislavská,855,49.19942,16.6199
89,Alza Box,582786,Brno,61200,Cimburkova,4,49.217268,16.607714
90,Alza Box,582786,Brno,63900,Vídeňská,995,49.17939,16.595574
91,Alza Box,582786,Brno,62100,Žitná,1553,49.238658,16.58565
92,Alza Box,582786,Brno,60200,Přízova,280,49.189809,16.615221
93,Alza Box,582786,Brno,61800,Spáčilova,1109,49.187619,16.640943
94,Alza Box,582786,Brno,61200,Purkyňova,2640,49.224703,16.58282
95,Alza Box,582786,Brno,62800,Věstonická,4307,49.203159,16.655125
96,Alza Box,582786,Brno,61200,Chaloupkova,956,49.223776,16.599208
97,Alza Box,582786,Brno,61200,Kolejní,2905,49.23123,16.570702
98,Alza Box,582786,Brno,62800,Žarošická,13,49.210524,16.662751
99,Alza Box,582786,Brno,60200,Křenová,186,49.189415,16.624761
100,Alza Box,582786,Brno,62800,Věstonická,7623,49.201536,16.658019
101,Alza Box,582786,Brno,61400,Netušilova,15,49.212199,16.633329
102,Alza Box,582786,Brno,61700,Svatopetrská,35,49.179866,16.621958
103,Alza Box,582786,Brno,61600,Bráfova,2117,49.209964,16.573603
104,Alza Box,582786,Brno,61300,Černopolní,214,49.203699,16.618472
105,Alza Box,582786,Brno,62800,Sedláčkova,2557,49.202266,16.668071
106,Alza Box,582786,Brno,60200,náměstíMíru,376,49.202122,16.580561
107,Alza Box,582786,Brno,62400,,,49.217907,16.553833
108,Alza Box,582786,Brno,62500,,,49.164883,16.57637
109,Alza Box,582786,Brno,62500,Jemelkova,749,49.168361,16.557375
