ID ,name,city_code,city,zip_code,street,house_NO,latitude ,longtitude
,OX - Balíkovna,554782.0,Praha,10104,Bohdalecká,1404.0,,
,OX - Balíkovna,554782.0,Praha,10153,Vršovická,,,
,OX - Balíkovna,554782.0,Praha,10407,U starého nádraží,262.0,,
,OX - Balíkovna,554782.0,Praha,10806,Počernická,518.0,,
,OX - Balíkovna,554782.0,Praha,10905,Kutnohorská,532.0,,
,OX - Balíkovna,554782.0,Praha,11006,Těšnov,1744.0,,
,OX - Balíkovna,554782.0,Praha,11053,Jindřišská,909.0,,
,OX - Balíkovna,554782.0,Praha,12025,Mánesova,1602.0,,
,OX - Balíkovna,554782.0,Praha,12045,Wilsonova,300.0,,
,OX - Balíkovna,554782.0,Praha,12807,Svatoplukova,1744.0,,
,OX - Balíkovna,554782.0,Praha,13059,U nákladového nádraží,2759.0,,
,OX - Balíkovna,554782.0,Praha,13060,Olšanská,38.0,,
,OX - Balíkovna,554782.0,Praha,13061,Na Jarově,2425.0,,
,OX - Balíkovna,554782.0,Praha,14029,Thomayerova,811.0,,
,OX - Balíkovna,554782.0,Praha,14030,Olbrachtova,2096.0,,
,OX - Balíkovna,554782.0,Praha,14031,Na Pankráci,1724.0,,
,OX - Balíkovna,554782.0,Praha,14032,Na strži,1709.0,,
,OX - Balíkovna,554782.0,Praha,14033,Vyskočilova,1481.0,,
,OX - Balíkovna,554782.0,Praha,14107,Postupická,2931.0,,
,OX - Balíkovna,554782.0,Praha,14227,Nad lesním divadlem,,,
,OX - Balíkovna,554782.0,Praha,14704,Modřanská,1841.0,,
,OX - Balíkovna,554782.0,Praha,14713,Vrbova,1233.0,,
,OX - Balíkovna,554782.0,Praha,14911,Arkalycká,951.0,,
,OX - Balíkovna,554782.0,Praha,14912,Türkova,2318.0,,
,OX - Balíkovna,554782.0,Praha,14917,Brandlova,1640.0,,
,OX - Balíkovna,554782.0,Praha,15035,Strakonická,,,
,OX - Balíkovna,554782.0,Praha,15036,Nádražní,279.0,,
