"id";"id_spolecnost";"kod_obec";"psc";"mesto";"ulice";"cislo";"mesto";"lat";"long"
"1";"4";"597635";"79395";"Město Albrechtice";"Míru";"<NA>";"Město Albrechtice";"50.16255889";"17.573313305"
"2";"4";"598925";"73543";"Albrechtice";"Středová";"408";"Albrechtice";"49.78343";"18.52277"
"3";"4";"581291";"67904";"Adamov";"Nádražní";"42";"Adamov";"49.30047139";"16.651568111"
"4";"4";"549258";"39816";"Albrechtice nad Vltavou";"Albrechtice nad Vltavou";"16";"Albrechtice nad Vltavou";"49.25639861";"14.307878111"
"5";"4";"554499";"35201";"Aš";"Chebská";"2934";"Aš";"50.21356919";"12.199983111"
"6";"4";"554499";"35201";"Aš";"Chebská";"140";"Aš";"50.20968139";"12.204306888"
"7";"4";"586048";"69671";"Blatnice pod Svatým Antonínkem";"Blatnice pod Svatým Antonínkem";"857";"Blatnice pod Svatým Antonínkem";"48.94139281";"17.480696888"
"8";"4";"559725";"33824";"Břasy";"Stupno";"181";"Břasy";"49.82541";"13.577352194"
"9";"4";"592013";"68703";"Babice";"Babice";"87";"Babice";"49.11960969";"17.478444694"
"10";"4";"585114";"76331";"Brumov-Bylnice";"Široká";"147";"Brumov-Bylnice";"49.07860469";"18.017734694"
"11";"4";"592102";"68708";"Buchlovice";"nám. Svobody";"239";"Buchlovice";"49.086585";"17.338551388"
"12";"4";"582794";"66401";"Babice nad Svitavou";"Babice nad Svitavou";"345";"Babice nad Svitavou";"49.28352139";"16.6993125"
"13";"4";"597228";"79351";"Břidličná";"Osvobození";"357";"Břidličná";"49.91414919";"17.377711888"
"14";"4";"570788";"29306";"Bradlec";"U Borku";"520";"Bradlec";"50.44284581";"14.899606694"
"15";"4";"532118";"27341";"Brandýsek";"Brandýsek";"433";"Brandýsek";"50.18278781";"14.173037194"
"16";"4";"590401";"67503";"Budišov";"Budišov";"344";"Budišov";"49.2750325";"16.013890305"
"17";"4";"529303";"25601";"Benešov";"Bezručova";"1064";"Benešov";"49.78189719";"14.693288111"
"18";"4";"529303";"25601";"Benešov";"Čechova";"1433";"Benešov";"49.78624469";"14.692733888"
"19";"4";"529303";"25601";"Benešov";"Křižíkova";"1529";"Benešov";"49.77217419";"14.679438888"
"20";"4";"529303";"25601";"Benešov";"Nádražní";"414";"Benešov";"49.78093919";"14.682938305"
"21";"4";"529303";"25601";"Benešov";"Pražského povstání";"1908";"Benešov";"49.79001361";"14.698111111"
"22";"4";"532169";"27343";"Buštěhrad";"Lidická";"653/18";"Buštěhrad";"50.15424031";"14.195913305"
"23";"4";"532169";"27343";"Buštěhrad";"Tyršova";"647/32";"Buštěhrad";"50.15761281";"14.185896111"
"24";"4";"599051";"73531";"Bohumín";"1. máje";"163";"Bohumín";"49.90335831";"18.379743111"
"25";"4";"599051";"73581";"Bohumín";"Bezručova";"1084";"Bohumín";"49.89283419";"18.361458888"
"26";"4";"599051";"73581";"Bohumín";"Čáslavská";"243";"Bohumín";"49.9039725";"18.353351388"
"27";"4";"599051";"73581";"Bohumín";"Okružní";"1164";"Bohumín";"49.9020775";"18.350886111"
"28";"4";"589268";"79821";"Bedihošť";"Prostějovská";"<NA>";"Bedihošť";"49.44843831";"17.166100611"
"29";"4";"555029";"36471";"Bochov";"nám. Míru";"337";"Bochov";"50.15087581";"13.044766111"
"30";"4";"567451";"41801";"Bílina";"5.května";"346";"Bílina";"50.54498611";"13.769185305"
"31";"4";"567451";"41801";"Bílina";"Aléská";"269";"Bílina";"50.5420025";"13.776649388"
"32";"4";"581364";"67921";"Bořitov";"Trávníky";"136";"Bořitov";"49.41871919";"16.5863925"
"33";"4";"592048";"68771";"Bojkovice";"Mánesova";"954";"Bojkovice";"49.03706";"17.810296888"
"34";"4";"535451";"29471";"Benátky nad Jizerou";"B. Němcové";"656";"Benátky nad Jizerou";"50.28278919";"14.8227975"
"35";"4";"532924";"25741";"Bukovany";"Bukovany";"183";"Bukovany";"49.824175";"14.627895611"
"36";"4";"581283";"67801";"Blansko";"Leoše Janáčka";"7a";"Blansko";"49.35938";"16.654608111"
"37";"4";"581283";"67801";"Blansko";"Nádražní";"2320-10-01 00:00:00";"Blansko";"49.35323469";"16.649281388"
"38";"4";"581283";"67801";"Blansko";"nám. Míru";"1481/1";"Blansko";"49.35902669";"16.649576888"
"39";"4";"581283";"67801";"Blansko";"Rožmitálova";"1813/7";"Blansko";"49.36151439";"16.642705805"
"40";"4";"506214";"74723";"Bolatice";"Sokolovská";"1027/1a";"Bolatice";"49.95285281";"18.0792175"
"41";"4";"592030";"68712";"Bílovice";"Bílovice";"400";"Bílovice";"49.09974669";"17.5482025"
"42";"4";"573922";"55001";"Broumov";"tř. Masarykova";"235";"Broumov";"50.58951939";"16.326641888"
"43";"4";"506460";"74787";"Budišov nad Budišovkou";"náměstí Republiky";"37";"Budišov nad Budišovkou";"49.79549361";"17.63013"
"44";"4";"549266";"39843";"Bernartice";"Pod stadionem";"351";"Bernartice";"49.36711969";"14.391081111"
"45";"4";"556858";"74281";"Bravantice";"Bravantice";"78";"Bravantice";"49.75535361";"18.084661111"
"46";"4";"535427";"29401";"Bakov nad Jizerou";"Na Výsluní";"980";"Bakov nad Jizerou";"50.47529219";"14.940802194"
"47";"4";"538094";"25001";"Brandýs nad Labem-Stará Boleslav";"Kostelecká";"1529";"Brandýs nad Labem-Stará Boleslav";"50.18977031";"14.649561388"
