"id";"id_spolecnost";"kod_obec";"psc";"mesto";"ulice";"cislo";"lat";"long"
"1";"1";"586846";"58601";"Jihlava";"S. K. Neumanna";"590/22";"49.4048";"15.557"
"2";"1";"597007";"59401";"Velké Meziříčí";"Sokolovská";"147/25";"49.3517";"16.0196"
"3";"1";"545058";"75701";"Valašské Meziříčí";"Králova";"1256";"49.4693";"17.9711"
"4";"1";"554782";"15600";"Praha";"Pod Třešňovkou";"234";"49.9708";"14.3832"
"5";"1";"511382";"75002";"Přerov";"Svisle";"1100/9";"49.4503";"17.4594"
"6";"1";"585068";"76001";"Zlín";"třída Tomáše Bati";"1547";"49.2258";"17.6706"
"7";"1";"592731";"68801";"Uherský Brod";"Stolařská";"2338";"49.0193";"17.6429"
"8";"1";"500496";"77900";"Olomouc";"Kafkova 1223/8 (OC Haná)";"1223/8";"49.5754";"17.2282"
"9";"1";"555088";"73601";"Havířov";"Dělnická (OC Elan)";"<NA>";"49.7808";"18.4318"
"10";"1";"582786";"60200";"Brno";"Mendlovo náměstí";"<NA>";"49.1904456";"16.5961503"
"11";"1";"598003";"73801";"Frýdek-Místek";"tř. T. G. Masaryka";"503";"49.6856";"18.3523"
"12";"1";"554821";"72527";"Ostrava";"Spojovací 396 (NC Géčko)";"396";"49.849";"18.1458"
"13";"1";"500496";"77900";"Olomouc";"Pasteurova";"905/10";"49.5997";"17.2738"
"14";"1";"544256";"37001";"České Budějovice";"Nádražní 1759 (OC Mercury)";"1759";"48.9729";"14.4874"
"15";"1";"582786";"62500";"Brno";"Netroufalky 770/14-16 (OC Campus Square)";"770/14-16";"49.1777";"16.5668"
"16";"1";"545881";"37701";"Jindřichův Hradec";"U Nádraží";"940";"49.15236139";"15.00691847"
"17";"1";"531057";"26601";"Beroun";"Švermova";"1368";"49.9581";"14.0519"
"18";"1";"544256";"37006";"České Budějovice";"Dobrovodská";"2009/50a";"48.9714";"14.4971"
"19";"1";"554782";"19000";"Praha";"Freyova";"945";"50.1099";"14.5016"
"20";"1";"554791";"32600";"Plzeň";"Nepomucká";"122/10";"49.7209";"13.4025"
"21";"1";"555771";"33901";"Klatovy";"Nádražní";"613";"49.4016";"13.28"
"22";"1";"553425";"34401";"Domažlice";"Kozinova";"44";"49.4392";"12.9182"
"23";"1";"545881";"37701";"Jindřichův Hradec";"Václavská";"618";"49.1318";"15.0036"
"24";"1";"554782";"15500";"Praha";"Hábova";"2348/7";"50.04697579";"14.31119761"
"25";"1";"582786";"62800";"Brno";"Zikova";"2503/1";"49.209";"16.6742"
"26";"1";"582786";"62700";"Brno";"Tuřanka";"1222/115";"49.16822291";"16.68051207"
"27";"1";"554782";"14000";"Praha";"Na Hřebenech II";"<NA>";"50.053585";"14.4308633"
