address,pclshopid,_leaflet_id,ctrcode,city,geolat,geolng,iscodhandler,isparcellocker,contact,phone,name,guid,visible,utilization,capacitystate,parcelBox,parcelShop,payCard,paybybankcard,wheelchairAccess,zipcode,openSaturday,openSunday,imageUrl,holiday,city_code,city_name,search_term,search_type
S. K. Neumanna 590/22,CZ58601-PARCELLOCK01,CZ58601-PARCELLOCK01,CZ,Jihlava,49.4048,15.557,1,1,,,GLS Parcel Box,cb54cd16-3204-4d44-bc69-071e5cd54ce3,1,0,1,1,0,1,1,,58601,1,1,https://prodpdmpublicstore.blob.core.windows.net/deliverypoint-images/CZ58601-PARCELLOCK01.jpg,,586846.0,Jihlava,S. K. Neumanna 590/22 Jihlava 58601,full
Myslotínská 2449,39301-ELPESRO,39301-ELPESRO,CZ,Pelhřimov,49.4139,15.22,1,0,,,Elpe s.r.o. - Maloobchod elektro,d3ed9bc6-5008-4a91-b260-462981c01521,1,0,1,0,1,1,1,,39301,1,0,https://prodpdmpublicstore.blob.core.windows.net/deliverypoint-images/39301-ELPESRO.jpg,,547492.0,Pelhřimov,Myslotínská 2449 Pelhřimov 39301,full
Národní obrany 824/35 - Pasáž Riviera,16900-GLSCZPS,16900-GLSCZPS,CZ,Praha 6,50.1011747,14.3972108,1,0,,,Depo GLS,55e07166-a9e6-4a73-8935-94f528a42447,1,0,1,0,1,1,1,,16000,0,0,https://prodpdmpublicstore.blob.core.windows.net/deliverypoint-images/16900-GLSCZPS.jpg,01.05-02.05.2025,554782.0,Praha,Praha 6 16000,no_street
Kolbenova 650/22,19000-FAMIKLSRO,19000-FAMIKLSRO,CZ,Praha 9,50.1104,14.5076,1,0,,,Famikl,1aab748b-f270-4b18-9a0a-ce64d4f4dd7a,1,0,1,0,1,1,1,,19000,0,0,https://prodpdmpublicstore.blob.core.windows.net/deliverypoint-images/19000-FAMIKLSRO.jpg,02.05.2025,554782.0,Praha,Kolbenova 650/22 Praha 9 19000,full
Nerudova 1357/5,58901-RICHTEROVA,58901-RICHTEROVA,CZ,Třešť,49.2895,15.4825,1,0,,,Hračky - sport,8c578bb0-997e-4c7c-95a8-420ef77bc3e6,1,0,1,0,1,1,1,,58901,1,0,https://prodpdmpublicstore.blob.core.windows.net/deliverypoint-images/58901-RICHTEROVA.jpg,,588032.0,Třešť,Nerudova 1357/5 Třešť 58901,full
Dostojevského 191,34901-CERNOCHMIL,34901-CERNOCHMIL,CZ,Stříbro,49.7537,13.0014,1,0,,,Trisport,09dc8672-2fc9-427c-bda6-28c21ee74f8d,1,0,1,0,1,1,1,,34901,1,0,https://prodpdmpublicstore.blob.core.windows.net/deliverypoint-images/34901-CERNOCHMIL.jpg,,561215.0,Stříbro,Dostojevského 191 Stříbro 34901,full
Masarykovo nám. 135,68801-HATRICKSTO,68801-HATRICKSTO,CZ,Uherský Brod,49.0242,17.6469,1,0,,,Hatrick store s.r.o.,ef144111-68e5-410a-b2af-c3c2ac5d68e6,1,0,1,0,1,1,1,,68801,1,0,https://prodpdmpublicstore.blob.core.windows.net/deliverypoint-images/68801-HATRICKSTO.jpg,,592731.0,Uherský Brod,Masarykovo nám. 135 Uherský Brod 68801,full
nám. T. G. Masaryka 111,34012-VELOVIS,34012-VELOVIS,CZ,Švihov,49.4819,13.2832,1,0,,,Velovis,cdc0a033-0f82-4454-ae48-42036ab1675c,1,0,1,0,1,1,1,,34012,0,0,https://prodpdmpublicstore.blob.core.windows.net/deliverypoint-images/34012-VELOVIS.jpg,,557200.0,Švihov,nám. T. G. Masaryka 111 Švihov 34012,full
Náměstí J.M. Marků 112,56301-DOLEZALMAR,56301-DOLEZALMAR,CZ,Lanškroun,49.9122,16.6105,1,0,,,Svět tašek,ca407c1f-0dd3-46a2-a4cf-4cfe5e98c503,1,0,1,0,1,1,1,,56301,1,0,https://prodpdmpublicstore.blob.core.windows.net/deliverypoint-images/56301-DOLEZALMAR.jpg,,580511.0,Lanškroun,Lanškroun 56301,no_street
Krkonošská 456,46861-VEDRALZDEN,46861-VEDRALZDEN,CZ,Desná,50.7539,15.3144,1,0,,,"Textil, papír, hračky, sport",5be4e351-75c4-4dc0-b183-1ebe4574fdb8,1,0,1,0,1,0,0,,46861,1,0,,,563552.0,Desná,Krkonošská 456 Desná 46861,full
