ID ,name,city_code,city,zip_code,street,house_NO,latitude ,longtitude
1,DHL Locker,554782,Praha,13000,Vinohradská,2828/151,,
2,DHL Locker,555134,Pardubice,53002,Masarykovo náměstí,2799,,
3,DHL Locker,554782,Praha,14800,Roztylská,2321/19,,
4,DHL Locker,554782,Praha,19000,Českomoravská,2420/15a,,
5,DHL Locker,554782,Praha,10000,U Slavie,1527,,
6,DHL Locker,554782,Praha,17000,Veletržní,1623/24,,
7,DHL Locker,554782,Praha,15500,Sárská,5/133,,
8,DHL Locker,582786,Brno,63500,Kubíčkova,1115/8,,
9,DHL Locker,563889,Liberec,46001,Soukenné náměstí,669/2a,,
10,DHL Locker,500496,Olomouc,77900,tř. Kosmonautů,1294/29,,
11,DHL Locker,554804,Ústí nad Labem,40001,Bílinská,3490/6,,
12,DHL Locker,554791,Plzeň,32600,Náměstí Generála Píky,2703/27,,
13,DHL Locker,554821,Ostrava,70200,Nádražní,2967/93,,
14,DHL Locker,554782,Praha,15800,Bucharova,2641/14,,
15,DHL Locker,554782,Praha,10200,Švehlova,1391/32,,
16,DHL Locker,569810,Hradec Králové,50009,Brněnská,1825/23A,,
17,DHL Locker,554782,Praha,15500,Mukařovského,2590/2,,
18,DHL Locker,554782,Praha,19800,Chlumecká,765/6,,
19,DHL Locker,554782,Praha,15000,Plzeňská,233/8,,
