ID ,name,city_code,city,zip_code,street,house_NO,latitude ,longtitude
1,DPD box,554782,Praha,14000,Nuselská,20,50.0629292,14.4435808
2,DPD box,554821,Ostrava,71300,Orlovská,803/162,49.8634858,18.3220972
3,DPD box,567442,Teplice,41510,Srbice,-,50.6590081,13.8655006
4,DPD box,554782,Praha,19000,Dvořišťská,964,50.095012,14.540466
5,DPD box,563889,Liberec,46001,Londýnská,507/35,50.7744861,15.0391608
6,DPD box,554782,Praha,19300,Náchodská,2479/63,50.113598,14.600117
7,DPD box,554782,Praha,10600,Jesenická,228/46,50.057924,14.49221
8,DPD box,563889,Liberec,46007,Dr. Milady Horákové,561,50.7530408,15.0551856
9,DPD box,539856,Všenory,25231,Květoslava Mašity,246,49.92652271,14.30307885
10,DPD box,554782,Praha,17000,Kostelní,1300/44,50.0972056,14.4223847
11,DPD box,554782,Praha,19800,Laponská,4,50.10807056,14.52564751
12,DPD box,539325,Jesenice,25242,Ve Dvoře,807,49.9685089,14.5152239
13,DPD box,582786,Brno,66442,U Dálnice,777,49.1386508,16.6338381
14,DPD box,554782,Praha,19900,Rýmařovská,561,50.135655,14.51026
15,DPD box,554782,Praha,10000,Pod Altánem,2406,50.069574,14.489395
16,DPD box,554782,Praha,15500,Plzeňská,1110/21,50.061333,14.309116
17,DPD box,554782,Praha,19000,Nad Šestikopy,812/4,50.117276,14.496297
18,DPD box,582786,Brno,61900,Vídeňská,132/100,49.15492,16.597842
19,DPD box,502545,Horka nad Moravou,78335,Olomoucká,612/34,49.62733502,17.20547848
20,DPD box,554782,Praha,14100,Chodovská,227/3,50.05310692,14.47098374
21,DPD box,537004,Nymburk,28802,U Staré sladovny,-,50.1857794,15.0405253
22,DPD box,532053,Kladno,27201,Pařížská,2511,50.1359097,14.1357181
23,DPD box,534676,Mělník,27601,Pražská,4296,50.342175,14.489905
24,DPD box,582786,Brno,62500,Netroufalky,770,49.1768275,16.5662219
25,DPD box,551953,Vodňany,38901,Dr. Hajného,1274,49.14841925,14.18110625
26,DPD box,554782,Praha,10000,Přetlucká,3295/50,50.0705044,14.5102497
27,DPD box,553271,Veselí nad Lužnicí,39181,Třída Čs. armády,830,49.1867717,14.7049761
28,DPD box,588458,Holešov,76901,Palackého,520,49.32629707,17.55415624
29,DPD box,563099,Jirkov,43111,Vinařická,2152,50.49961038,13.44494698
30,DPD box,534951,Kralupy nad Vltavou,27801,Veltruská,815,50.252751,14.318041
31,DPD box,582786,Brno,63500,Kubíčkova,8,49.2211514,16.5179053
32,DPD box,513717,Urbanice,50327,Urbanice,44,50.1793333,15.7317933
33,DPD box,544256,České Budějovice,37001,U Zimního stadionu,19/1,48.9696659,14.47433486
34,DPD box,532053,Kladno,27201,V Bažantnici,2655,50.131004,14.1373787
35,DPD box,579025,Trutnov,54101,Obchodní,136,50.5710017,15.8923258
36,DPD box,588296,Kroměříž,76701,Velehradská,3254/105,49.28456094,17.38867554
37,DPD box,539325,Jesenice,25242,Zbraslavská,68,49.9676867,14.512685
38,DPD box,529303,Benešov,25601,Čechova,1433,49.786398,14.692717
39,DPD box,554782,Praha,16000,Bechyňova,2571/3,50.10559,14.3892619
40,DPD box,560383,Chodov,35735,Tovární,1179,50.23819221,12.74336046
41,DPD box,580350,Choceň,56501,Pardubická,644,49.9931797,16.2177978
42,DPD box,554481,Cheb,35002,Pražská,2494/15,50.08167219,12.37864818
43,DPD box,583588,Oslavany,66412,Hlavní,86,49.1212989,16.3355703
44,DPD box,571164,Chrudim,53701,Dašická,1228,49.956248,15.799783
45,DPD box,554791,Plzeň,32300,Gerská,1247/34,49.779175,13.370295
46,DPD box,593711,Znojmo,66902,Přímětická,3658,48.8670172,16.0440975
47,DPD box,537683,Poděbrady,29001,Bílkova,270,50.13507736,15.09756956
48,DPD box,539813,Velké Přílepy,25264,Statenická,732,50.1574292,14.3023864
49,DPD box,505781,Zápy,25061,Zápy,275,50.17623856,14.67099742
50,DPD box,563889,Liberec,46011,Sousedská,626,50.7739631,15.0282197
51,DPD box,529516,Čerčany,25722,Havlíčkova,439,49.853177,14.707689
52,DPD box,540111,Dobříš,26301,Rukavičkářská,871,49.7909506,14.1781733
53,DPD box,567256,Litvínov,43601,Podkrušnohorská,308,50.6010723,13.60186731
54,DPD box,554821,Ostrava,70900,28. října,258/296,49.8260881,18.2434533
55,DPD box,534919,Netřebice,28802,Netřebice,80,50.21284732,15.14243697
56,DPD box,500496,Olomouc,77900,Na Tabulovém vrchu,4,49.5837592,17.2259464
57,DPD box,554791,Plzeň,32300,Sokolovská,1327/74,49.7725956,13.3703456
58,DPD box,575429,Opatovice nad Labem,53345,Pardubická,352,50.142291,15.7922742
59,DPD box,549576,Milevsko,39901,Blanická,1651,49.4406231,14.3613228
60,DPD box,570826,Kosmonosy,29306,Průmyslová,-,50.4287236,14.9355117
61,DPD box,586404,Písek,39719,Nádražní,2590,49.29660504,14.14428146
62,DPD box,582786,Brno,61500,Táborská,224,49.19266,16.6353756
63,DPD box,554782,Praha,15500,Šafránkova,1243,50.057439,14.337768
64,DPD box,554791,Plzeň,30100,U velkého rybníka,2299/27,49.77067826,13.39784284
65,DPD box,535419,Mladá Boleslav,29301,Jičínská,1326,50.4106253,14.9317756
66,DPD box,554791,Plzeň,30100,Skupova,490/24,49.723225,13.374087
67,DPD box,554782,Praha,15200,Tilleho náměstí,792/2,50.0350542,14.3765664
68,DPD box,554782,Praha,15800,Husníkova,-,50.048217,14.341094
69,DPD box,538132,Čelákovice,25088,Toušeňská,2042,50.1559125,14.7444955
70,DPD box,546127,Dačice,38001,Toužínská,63/1,49.0808319,15.4194992
