ID ,name,city_code,city,zip_code,street,house_NO,latitude ,longtitude
,Penguin box,592013,Babice,,Babice,547,,
,Penguin box,592013,Babice,,Babice,258,,
,Penguin box,581330,Benešov,,Benešov,154,,
,Penguin box,579050,Bernartice,,Bernartice,62,,
,Penguin box,550833,Bílsko,,Bílsko,,,
,Penguin box,552062,Bílsko,,Bílsko,12,,
,Penguin box,525588,Bludov,,Jiráskova ulice,336,,
,Penguin box,592901,Bohdalice,,Bohdalice,45,,
,Penguin box,539953,Bohutín,,Bohutín,40,,
,Penguin box,525979,Bohutín,,Bohutín,103,,
,Penguin box,539970,Borotice,,Borotice,48,,
,Penguin box,577839,Borová,,Borová,105,,
,Penguin box,582891,Březina,,Březina,24,,
,Penguin box,581429,Březina,,Březina,122,,
,Penguin box,538744,Březnice,,Březnice,26,,
,Penguin box,585131,Březová,,Březová,3,,
,Penguin box,506451,Březová,,Lesní Albrechtice,10,,
,Penguin box,506451,Březová,,Březová,106,,
,Penguin box,599735,Březová-Oleško,,Hlavní,1143,,
,Penguin box,593842,Břežany,,Břežany,103,,
,Penguin box,598062,Bystřice,,Bystřice,145,,
,Penguin box,598062,Bystřice,,Bystřice,392,,
,Penguin box,533998,Církvice,,Církvice,6,,
,Penguin box,550272,Cvrčovice,,Cvrčovice,74,,
,Penguin box,592137,Částkov,,Částkov,75,,
,Penguin box,576221,Čestice,,Čestice,128,,
,Penguin box,501476,Dlouhá Loucka,,Pionýrská,176,,
,Penguin box,577987,Dlouhá Loučka,,Dlouhá Loučka,122,,
,Penguin box,595489,Dobrá Voda,,Dobrá Voda,46,,
,Penguin box,501646,Dolany,,Dolany,55,,
,Penguin box,556106,Dolany,,Dolany,114,,
,Penguin box,501646,Dolany,,Pohořany,103,,
,Penguin box,501646,Dolany,,Véska,9,,
,Penguin box,581551,Drnovice,,Drnovice,371,,
,Penguin box,581551,Drnovice,,Drnovice,43,,
,Penguin box,593001,Drnovice,,Drnovice,321,,
,Penguin box,531154,Drozdov,,Drozdov,16,,
,Penguin box,568678,Herálec,,Herálec,144,,
,Penguin box,595594,Herálec - Český Herálec,,Český Herálec,114,,
,Penguin box,571393,Hlinsko,,Poděbradovo nám.,10,,
,Penguin box,581593,Hodonín,,Hodonín,17,,
,Penguin box,539228,Holubice,,Holubice,175,,
,Penguin box,550825,Holubice,,Holubice,61,,
,Penguin box,550825,Holubice,,Holubice,213,,
,Penguin box,537161,Hradčany,,Hradčany,74,,
,Penguin box,594148,Hrádek,,Hrádek,309,,
,Penguin box,512176,Hrádek,,Hrádek,352,,
,Penguin box,513750,Hranice,,třída 1. máje,1624,,
,Penguin box,513750,Hranice,,Nádražní,1285,,
,Penguin box,513750,Hranice,,Zborovská,293,,
,Penguin box,513750,Hranice,,Nová,1820,,
,Penguin box,513750,Hranice,,Cementářenské Sídliště,1298,,
,Penguin box,513750,Hranice,,Jungmanova,1805,,
,Penguin box,513750,Hranice,,Dobrovského,,,
,Penguin box,513750,Hranice,,Máchova,1281,,
,Penguin box,513750,Hranice,,Nádražní,735,,
,Penguin box,513750,Hranice,,Uhřinov,,,
,Penguin box,531235,Hvozdec,,Hvozdec,61,,
,Penguin box,590703,Chlístov,,Chlístov,7,,
,Penguin box,503444,Litovel,,Chudobín,31,,
,Penguin box,597431,Janov,,Janov,63,,
,Penguin box,578134,Janov,,Janov,2,,
,Penguin box,578134,Jasenná,,Jasenná,58,,
,Penguin box,585301,Jasenná,,Jasenná,159,,
,Penguin box,585301,Jasenná,,Jasenná,54,,
,Penguin box,536393,Jestřebí,,Jestřebí,,,
,Penguin box,594211,Jezeřany - Maršovice,,Jezeřany - Maršovice,136,,
