ID ,name,city_code,city,zip_code,street,house_NO,latitude ,longtitude
1,Z-BOX,581291,Adamov,,Opletalova,401,49.29115,16.6642
2,Z-BOX,581291,Adamov,,Pod Horkou,325,49.30193,16.65416
3,Z-BOX,581291,Adamov,,Nádražní,455,49.30139,16.64993
4,Z-BOX,547786,Adršpach,,Adršpach,128,50.62438,16.08046
5,Z-BOX,597635,Město Albrechtice,,Míru,14,50.16282,17.57334
6,Z-BOX,576077,Albrechtice nad Orlicí,,Pardubická,233,50.14405,16.0608
7,Z-BOX,598925,Albrechtice u Českého Těšína,,Středová,408,49.78343,18.52277
8,Z-BOX,568741,Albrechtičky,,Albrechtičky,273,49.69757,18.09871
9,Z-BOX,586030,Archlebov,,Archlebov,75,49.04327,17.00537
10,Z-BOX,554499,Aš,,Nádražní,12,50.21071,12.19812
11,Z-BOX,554499,Aš,,Chebská,2934,50.21368,12.19983
12,Z-BOX,554499,Aš,,Hlavní,124,50.21487,12.19571
13,Z-BOX,554499,Aš,,Skřivánčí,37,50.21664,12.19901
14,Z-BOX,554499,Aš,,Rybniční,2744,50.2213,12.19087
15,Z-BOX,554499,Aš,,Dlouhá,2441,50.22396,12.19854
16,Z-BOX,582808,Babice u Rosic,,Výhon,13,49.17115,16.35897
17,Z-BOX,538043,Babice u Říčan,,Honzíkova,,50.01077,14.72211
18,Z-BOX,535427,Bakov nad Jizerou,,Na Výsluní,980,50.47526,14.94076
19,Z-BOX,535427,Bakov nad Jizerou,,Boleslavská,226,50.47884,14.93839
20,Z-BOX,598011,Baška,,Baška,183,49.64432,18.3694
21,Z-BOX,538051,Bašť,,Hlavní,301,50.20413,14.46862
22,Z-BOX,586862,Batelov,,Švábovská,572,49.31392,15.39342
23,Z-BOX,586862,Batelov,,Jihlavská,644,49.3189,15.40109
24,Z-BOX,579041,Batňovice,,Batňovice,181,50.51776,16.03702
25,Z-BOX,550809,Bavorov,,Dr. Mareše,370,49.12301,14.07825
26,Z-BOX,584304,Bavory,,Bavory,9,48.83489,16.62289
27,Z-BOX,566756,Bdeněves,,Bdeněves,49,49.7692,13.23328
28,Z-BOX,567043,Bečov,,Bečov,19,50.44875,13.71734
29,Z-BOX,554995,Bečov nad Teplou,,Školní,465,50.08244,12.83753
30,Z-BOX,533181,Bečváry,,Bečváry,109,49.95683,15.08107
31,Z-BOX,583952,Bedřichovice,,Hlavní,36,49.17985,16.72165
32,Z-BOX,552054,Bechyně,,sídl. Obránců míru,818,49.29908,14.46752
33,Z-BOX,552054,Bechyně,,Na Libuši,763,49.30029,14.47964
34,Z-BOX,552054,Bechyně,,U vodojemu,992,49.30284,14.47593
35,Z-BOX,512974,Bělá,,Bělá,150,49.97397,18.14825
36,Z-BOX,553441,Bělá nad Radbuzou,,Náměstí,200,49.59127,12.71545
37,Z-BOX,572586,Bělá nad Svitavou,,Bělá nad Svitavou,505,49.63954,16.48446
38,Z-BOX,535443,Bělá pod Bezdězem,,Na Výsluní,1010,50.49131,14.83047
39,Z-BOX,535443,Bělá pod Bezdězem,,Mělnická,283,50.50333,14.79831
40,Z-BOX,535443,Bělá pod Bezdězem,,Máchova,503,50.50598,14.79577
41,Z-BOX,550817,Bělčice,,náměstí J. Kučery,,49.50269,13.87572
42,Z-BOX,500526,Bělkovice-Lašťany,,Bělkovice-Lašťany,56,49.6677,17.31591
43,Z-BOX,500526,Bělkovice-Lašťany,,Bělkovice-Lašťany,562,49.67192,17.3219
44,Z-BOX,535451,Benátky nad Jizerou,,Bratří Bendů,,50.28094,14.83177
45,Z-BOX,535451,Benátky nad Jizerou,,Pražská,676,50.28395,14.82659
46,Z-BOX,535451,Benátky nad Jizerou,,náměstí 17. listopadu,565,50.28736,14.83641
47,Z-BOX,535451,Benátky nad Jizerou,,Tř. Osvoboz. polit. vězňů,241,50.28768,14.82589
48,Z-BOX,529303,Benešov,,U Pivovaru,,49.77905,14.68917
49,Z-BOX,529303,Benešov,,Vnoučkova,1699,49.78343,14.68827
50,Z-BOX,529303,Benešov,,Pražská,126,49.78502,14.68423
51,Z-BOX,529303,Benešov,,Nová pražská,401,49.78699,14.68639
52,Z-BOX,545406,Benešov nad Černou,,Benešov nad Černou,20,48.72874,14.62816
53,Z-BOX,562351,Benešov nad Ploučnicí,,Děčínská,246,50.74132,14.2957
54,Z-BOX,562351,Benešov nad Ploučnicí,,Dvořákova,624,50.74065,14.31064
55,Z-BOX,581330,Benešov u Boskovic,,Benešov,125,49.50974,16.77027
56,Z-BOX,529303,Benešov u Prahy,,Křižíkova,1529,49.77191,14.67933
57,Z-BOX,529303,Benešov u Prahy,,Bezručova,1064,49.78179,14.6933
58,Z-BOX,529303,Benešov u Prahy,,Vlašimská,409,49.78237,14.69898
59,Z-BOX,529303,Benešov u Prahy,,Červené vršky,2400,49.79311,14.67984
60,Z-BOX,576999,Benešov u Semil,,Benešov u Semil,197,50.59745,15.36062
61,Z-BOX,512281,Beňov,,Beňov,73,49.416,17.49919
62,Z-BOX,568481,Bernartice nad Odrou,,Bernartice nad Odrou,182,49.6118,17.94789
63,Z-BOX,524891,Bernartice u Javorníku,,Bernartice,125,50.3894,17.07725
64,Z-BOX,579050,Bernartice u Trutnova,,Bernartice,77,50.64524,15.96562
65,Z-BOX,531057,Beroun,,Na Máchovně,1610,49.95669,14.04095
